"nom_mun","edad","pob_tot","pob_h","pob_m","CVEGEO"
"Capulhuac","20 Años",737,378,359,"15 019"
"Capulhuac","21 Años",587,299,288,"15 019"
"Capulhuac","22 Años",676,342,334,"15 019"
"Capulhuac","23 Años",611,299,312,"15 019"
"Capulhuac","24 Años",611,289,322,"15 019"
"Chalco","Total",400057,193129,206928,"15 025"
"Chalco","3 Años",6971,3516,3455,"15 025"
"Chalco","4 Años",7076,3589,3487,"15 025"
"Chalco","5 Años",6834,3503,3331,"15 025"
"Chalco","6 Años",6646,3343,3303,"15 025"
"Chalco","7 Años",6763,3464,3299,"15 025"
"Chalco","8 Años",7426,3842,3584,"15 025"
"Chalco","9 Años",6803,3332,3471,"15 025"
"Chalco","10 Años",7656,3951,3705,"15 025"
"Chalco","11 Años",7169,3687,3482,"15 025"
"Chalco","12 Años",8002,3783,4219,"15 025"
"Chalco","13 Años",7982,3696,4286,"15 025"
"Chalco","14 Años",8136,3664,4472,"15 025"
"Chalco","15 Años",8012,3774,4238,"15 025"
"Chalco","16 Años",7340,3545,3795,"15 025"
"Chalco","17 Años",7493,3759,3734,"15 025"
"Chalco","18 Años",7679,3945,3734,"15 025"
"Chalco","19 Años",6561,3263,3298,"15 025"
"Chalco","20 Años",7528,3707,3821,"15 025"
"Chalco","21 Años",6126,3017,3109,"15 025"
"Chalco","22 Años",6974,3483,3491,"15 025"
"Chalco","23 Años",6498,3257,3241,"15 025"
"Chalco","24 Años",6541,3158,3383,"15 025"
"Chapa de Mota","Total",31737,15524,16213,"15 026"
"Chapa de Mota","3 Años",592,282,310,"15 026"
"Chapa de Mota","4 Años",640,317,323,"15 026"
"Chapa de Mota","5 Años",639,317,322,"15 026"
"Chapa de Mota","6 Años",601,305,296,"15 026"
"Chapa de Mota","7 Años",624,312,312,"15 026"
"Chapa de Mota","8 Años",678,350,328,"15 026"
"Chapa de Mota","9 Años",616,324,292,"15 026"
"Chapa de Mota","10 Años",688,363,325,"15 026"
"Chapa de Mota","11 Años",629,322,307,"15 026"
"Chapa de Mota","12 Años",646,322,324,"15 026"
"Chapa de Mota","13 Años",625,310,315,"15 026"
"Chapa de Mota","14 Años",639,319,320,"15 026"
"Chapa de Mota","15 Años",663,354,309,"15 026"
"Chapa de Mota","16 Años",588,297,291,"15 026"
"Chapa de Mota","17 Años",687,355,332,"15 026"
"Chapa de Mota","18 Años",646,330,316,"15 026"
"Chapa de Mota","19 Años",537,258,279,"15 026"
"Chapa de Mota","20 Años",575,286,289,"15 026"
"Chapa de Mota","21 Años",498,257,241,"15 026"
"Chapa de Mota","22 Años",555,271,284,"15 026"
"Chapa de Mota","23 Años",505,232,273,"15 026"
"Chapa de Mota","24 Años",557,290,267,"15 026"
"Chapultepec","Total",12772,6165,6607,"15 027"
"Chapultepec","3 Años",211,92,119,"15 027"
"Chapultepec","4 Años",205,118,87,"15 027"
"Chapultepec","5 Años",209,122,87,"15 027"
"Chapultepec","6 Años",210,94,116,"15 027"
"Chapultepec","7 Años",237,110,127,"15 027"
"Chapultepec","8 Años",238,116,122,"15 027"
"Chapultepec","9 Años",226,115,111,"15 027"
"Chapultepec","10 Años",259,121,138,"15 027"
"Chapultepec","11 Años",242,129,113,"15 027"
"Chapultepec","12 Años",249,131,118,"15 027"
"Chapultepec","13 Años",255,138,117,"15 027"
"Chapultepec","14 Años",268,142,126,"15 027"
"Chapultepec","15 Años",253,107,146,"15 027"
"Chapultepec","16 Años",238,124,114,"15 027"
"Chapultepec","17 Años",262,137,125,"15 027"
"Chapultepec","18 Años",236,107,129,"15 027"
"Chapultepec","19 Años",230,108,122,"15 027"
"Chapultepec","20 Años",248,130,118,"15 027"
"Chapultepec","21 Años",192,95,97,"15 027"
"Chapultepec","22 Años",212,100,112,"15 027"
