"nom_mun","edad","pob_tot","pob_h","pob_m"
"Chicoloapan","5 Años",3629,1784,1845
"Chicoloapan","6 Años",3213,1557,1656
"Chicoloapan","7 Años",3248,1592,1656
"Chicoloapan","8 Años",3478,1745,1733
"Chicoloapan","9 Años",3165,1526,1639
"Chicoloapan","10 Años",3773,1945,1828
"Chicoloapan","11 Años",3368,1735,1633
"Chicoloapan","12 Años",3690,1857,1833
"Chicoloapan","13 Años",3580,1780,1800
"Chicoloapan","14 Años",3703,1874,1829
"Chicoloapan","15 Años",3873,2001,1872
"Chicoloapan","16 Años",3593,1841,1752
"Chicoloapan","17 Años",4047,2120,1927
"Chicoloapan","18 Años",3900,2050,1850
"Chicoloapan","19 Años",3559,1849,1710
"Chicoloapan","20 Años",4147,2047,2100
"Chicoloapan","21 Años",3376,1700,1676
"Chicoloapan","22 Años",3561,1694,1867
"Chicoloapan","23 Años",3324,1685,1639
"Chicoloapan","24 Años",3303,1637,1666
"Chiconcuac","Total",27692,13548,14144
"Chiconcuac","3 Años",473,255,218
"Chiconcuac","4 Años",496,239,257
"Chiconcuac","5 Años",485,248,237
"Chiconcuac","6 Años",432,229,203
"Chiconcuac","7 Años",448,248,200
"Chiconcuac","8 Años",499,264,235
"Chiconcuac","9 Años",468,232,236
"Chiconcuac","10 Años",526,285,241
"Chiconcuac","11 Años",484,239,245
"Chiconcuac","12 Años",475,236,239
"Chiconcuac","13 Años",490,261,229
"Chiconcuac","14 Años",496,259,237
"Chiconcuac","15 Años",475,241,234
"Chiconcuac","16 Años",483,236,247
"Chiconcuac","17 Años",476,247,229
"Chiconcuac","18 Años",526,258,268
"Chiconcuac","19 Años",497,225,272
"Chiconcuac","20 Años",596,317,279
"Chiconcuac","21 Años",433,208,225
"Chiconcuac","22 Años",537,257,280
"Chiconcuac","23 Años",490,238,252
"Chiconcuac","24 Años",522,247,275
"Chimalhuacán","Total",705193,344571,360622
"Chimalhuacán","3 Años",12851,6481,6370
"Chimalhuacán","4 Años",13271,6793,6478
"Chimalhuacán","5 Años",13776,6964,6812
"Chimalhuacán","6 Años",12663,6357,6306
"Chimalhuacán","7 Años",12880,6506,6374
"Chimalhuacán","8 Años",13403,6954,6449
"Chimalhuacán","9 Años",12191,6071,6120
"Chimalhuacán","10 Años",13945,7198,6747
"Chimalhuacán","11 Años",12344,6248,6096
"Chimalhuacán","12 Años",13744,6872,6872
"Chimalhuacán","13 Años",12602,6434,6168
"Chimalhuacán","14 Años",12824,6377,6447
"Chimalhuacán","15 Años",13410,6798,6612
"Chimalhuacán","16 Años",12419,6271,6148
"Chimalhuacán","17 Años",13397,6812,6585
"Chimalhuacán","18 Años",14047,7113,6934
"Chimalhuacán","19 Años",11806,5954,5852
"Chimalhuacán","20 Años",14178,7030,7148
"Chimalhuacán","21 Años",11147,5542,5605
"Chimalhuacán","22 Años",13086,6518,6568
"Chimalhuacán","23 Años",12266,6019,6247
"Chimalhuacán","24 Años",12624,6196,6428
"Coacalco de Berriozábal","Total",293444,141107,152337
"Coacalco de Berriozábal","3 Años",3854,1930,1924
"Coacalco de Berriozábal","4 Años",4006,1992,2014
"Coacalco de Berriozábal","5 Años",4180,2181,1999
"Coacalco de Berriozábal","6 Años",3747,1924,1823
"Coacalco de Berriozábal","7 Años",3650,1815,1835
"Coacalco de Berriozábal","8 Años",3889,2007,1882
"Coacalco de Berriozábal","9 Años",3696,1851,1845
"Coacalco de Berriozábal","10 Años",4304,2218,2086
"Coacalco de Berriozábal","11 Años",3830,1986,1844
"Coacalco de Berriozábal","12 Años",4384,2348,2036
"Coacalco de Berriozábal","13 Años",4151,2092,2059
"Coacalco de Berriozábal","14 Años",4215,2087,2128
"Coacalco de Berriozábal","15 Años",4488,2301,2187
"Coacalco de Berriozábal","16 Años",4389,2261,2128
"Coacalco de Berriozábal","17 Años",4613,2322,2291
"Coacalco de Berriozábal","18 Años",5106,2593,2513
"Coacalco de Berriozábal","19 Años",4486,2331,2155
"Coacalco de Berriozábal","20 Años",5075,2555,2520
"Coacalco de Berriozábal","21 Años",4491,2263,2228
"Coacalco de Berriozábal","22 Años",4872,2415,2457
"Coacalco de Berriozábal","23 Años",4666,2392,2274
"Coacalco de Berriozábal","24 Años",4722,2318,2404
"Coatepec Harinas","Total",38643,18560,20083
"Coatepec Harinas","3 Años",840,395,445
"Coatepec Harinas","4 Años",824,418,406
"Coatepec Harinas","5 Años",868,451,417
"Coatepec Harinas","6 Años",788,405,383
"Coatepec Harinas","7 Años",822,416,406
"Coatepec Harinas","8 Años",887,453,434
"Coatepec Harinas","9 Años",842,405,437
"Coatepec Harinas","10 Años",907,445,462
"Coatepec Harinas","11 Años",795,418,377
"Coatepec Harinas","12 Años",845,468,377
"Coatepec Harinas","13 Años",789,381,408
"Coatepec Harinas","14 Años",838,407,431
"Coatepec Harinas","15 Años",772,398,374
"Coatepec Harinas","16 Años",756,385,371
"Coatepec Harinas","17 Años",819,441,378
"Coatepec Harinas","18 Años",787,399,388
"Coatepec Harinas","19 Años",704,338,366
"Coatepec Harinas","20 Años",772,360,412
"Coatepec Harinas","21 Años",639,309,330
"Coatepec Harinas","22 Años",669,297,372
"Coatepec Harinas","23 Años",652,296,356
"Coatepec Harinas","24 Años",636,288,348
"Cocotitlán","Total",15107,7350,7757
